Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.75988283	60.22040021	5415	2132227	3	E1816	Karaniitty	Karaängen	4	http://aikataulut.hsl.fi/pysakit/fi/2132227.html	6679011	2542297
24.806208	60.16790555	5416	2231203	1	E2303	Kuninkaansatama	Konungshamnen	2	http://aikataulut.hsl.fi/pysakit/fi/2231203.html	6673193	2544936
24.7385111	60.15733144	5417	2311215	2	E3115	Kala-Matti	Fiskar-Matte	158	http://aikataulut.hsl.fi/pysakit/fi/2311215.html	6671971	2541191
24.76114705	60.2212367	5418	2132228	5	E1817	Karaniitty	Karaängen	10	http://aikataulut.hsl.fi/pysakit/fi/2132228.html	6679105	2542366
24.67231901	60.13630343	5419	2412235	5	E4124	Alatörmä	Nederbrinken	3	http://aikataulut.hsl.fi/pysakit/fi/2412235.html	6669589	2537539
24.81327938	60.23319747	5420	2114221	3	E1910	Lintukulma	Fågelhörnet	243	http://aikataulut.hsl.fi/pysakit/fi/2114221.html	6680472	2545239
24.80552998	60.16596191	5421	2231204	1	E2304	Kuninkaanlahti	Konungsviken	4	http://aikataulut.hsl.fi/pysakit/fi/2231204.html	6672976	2544901
24.73783919	60.15788274	5422	2311216	2	E3116	Kala-Matti	Fiskar-Matte	0	http://aikataulut.hsl.fi/pysakit/fi/2311216.html	6672032	2541153
24.75478439	60.21915472	5423	2132229	3	E1818	Karakorpi	Karakärr	3	http://aikataulut.hsl.fi/pysakit/fi/2132229.html	6678869	2542016
24.67328231	60.13588565	5424	2412236	5	E4125	Alatörmä	Nederbrinken	106	http://aikataulut.hsl.fi/pysakit/fi/2412236.html	6669543	2537593
24.81249045	60.23121864	5425	2114222	2	E1911	Viserrystie	Kvittervägen	0	http://aikataulut.hsl.fi/pysakit/fi/2114222.html	6680251	2545198
24.73627996	60.16305251	5426	2311220	16	E3117	Piispansilta	Biskopsbron	2270	http://aikataulut.hsl.fi/pysakit/fi/2311220.html	6672607	2541060
24.80631615	60.16644185	5427	2231205	1	E2305	Kuninkaanlahti	Konungsviken	3	http://aikataulut.hsl.fi/pysakit/fi/2231205.html	6673030	2544944
24.75562738	60.21894352	5428	2132230	3	E1819	Karakorpi	Karakärr	8	http://aikataulut.hsl.fi/pysakit/fi/2132230.html	6678846	2542063
24.66903867	60.13516216	5429	2412237	5	E4126	Alakartanonkuja	Nedergårdsgränden	9	http://aikataulut.hsl.fi/pysakit/fi/2412237.html	6669460	2537358
24.7266326	60.15762152	5430	2312201	4	E3143	Kalatorppa	Fisketorpet	62	http://aikataulut.hsl.fi/pysakit/fi/2312201.html	6671996	2540531
24.82749918	60.23092843	5431	2115202	3	E1976	Mäkkylänmetsä	Mäkkyläskogen	3	http://aikataulut.hsl.fi/pysakit/fi/2115202.html	6680229	2546030
24.80316908	60.16369638	5432	2231206	1	E2306	Liinasaarentie	Linholmsvägen	8	http://aikataulut.hsl.fi/pysakit/fi/2231206.html	6672722	2544773
24.67031149	60.1349223	5433	2412238	5	E4127	Alakartanonkuja	Nedergårdsgränden	162	http://aikataulut.hsl.fi/pysakit/fi/2412238.html	6669434	2537429
24.75089	60.21768685	5434	2132231	1	E1820	Karamalmi	Karamalmen	15	http://aikataulut.hsl.fi/pysakit/fi/2132231.html	6678703	2541802
24.72542293	60.15665872	5435	2312202	0	E3156	Kalaonni	Fiskelyckan	0	http://aikataulut.reittiopas.fi/pysakit/fi/2312202.html	6671888	2540465
24.80205949	60.1625093	5436	2231207	1	E2307	Liinasaarentie	Linholmsvägen	12	http://aikataulut.hsl.fi/pysakit/fi/2231207.html	6672589	2544713
24.82605403	60.23446492	5437	2115204	2	E1916	Lintulaakson koulu	Lintulaaksonkoulu	0	http://aikataulut.hsl.fi/pysakit/fi/2115204.html	6680622	2545945
24.78656475	60.22332346	5438	2132235	2	E1821	Kilonkartano	Kilogården	89	http://aikataulut.hsl.fi/pysakit/fi/2132235.html	6679354	2543772
24.82704984	60.23100306	5439	2115205	3	E1924	Mäkkylänmetsä	Mäkkyläskogen	25	http://aikataulut.hsl.fi/pysakit/fi/2115205.html	6680237	2546005
24.67653652	60.13837326	5440	2412258	3	E4128	Ala-Soukka	Nedre Sökö	5	http://aikataulut.hsl.fi/pysakit/fi/2412258.html	6669822	2537771
24.73671448	60.15107633	5441	2312216	5	E3118	Nuottalahti	Notviken	6	http://aikataulut.hsl.fi/pysakit/fi/2312216.html	6671273	2541099
24.80434927	60.16850929	5442	2231208	6	E2308	Westendinasema	Westendstationen	602	http://aikataulut.hsl.fi/pysakit/fi/2231208.html	6673259	2544832
24.77548503	60.21716846	5443	2132240	2	E1822	Lansanpuro	Lansabäck	28	http://aikataulut.hsl.fi/pysakit/fi/2132240.html	6678661	2543166
